CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
SASTRA University,https://zollege.in/university/185216-sastra-university-thanjavur,"Thanjavur, Tamil Nadu | UGC Accredited",BE/B.Tech,₹ 1.67 Lakhs,ME/M.Tech,₹ 1.57 Lakhs,NIRFranking 26 out of 201 in 2023,8.1/10 (20 Reviews)
IBS,https://zollege.in/college/177162-ibs-hyderabad,"Hyderabad, Telangana | CRISIL, AACSB Accredited",MBA/PGDM,₹ 16.02 Lakhs,BBA/BBM,₹ 2.6 Lakhs,ranking 21 out of 178 in 2021,8/10 (2 Reviews)
Indian Institute of Engineering Science and Technology - [IIEST] Shibpur,https://zollege.in/university/187651-indian-institute-of-engineering-science-and-technology-iiest-shibpur-howrah,"Howrah, West Bengal | AICTE Accredited",BE/B.Tech,₹ 1.39 Lakhs,ME/M.Tech,₹ 81.5 K,NIRFranking 66 out of 200 in 2023,8.1/10 (43 Reviews)
School of Planning and Architecture - [SPA],https://zollege.in/university/184790-school-of-planning-and-architecture-spa-new-delhi,"New Delhi, Delhi NCR | COA, MHRD Accredited",M.Planning,₹ 1.32 Lakhs,M.Arch,₹ 1.32 Lakhs,NIRFranking 101 out of 200 in 2019,8.1/10 (5 Reviews)
Indian Institute of Management - [IIMN],https://zollege.in/university/214458-indian-institute-of-management-iimn-nagpur,"Nagpur, Maharashtra",Graduate Certificate in Management,₹ 2.25 Lakhs,UG Certificate in Management,₹ 2.75 Lakhs,NIRFranking 43 out of 125 in 2023,
Loyola College,https://zollege.in/college/161916-loyola-college-chennai,"Chennai, Tamil Nadu | UGC Accredited",B.Sc,₹ 48.94 K,M.Sc,₹ 86 K,NIRFranking 7 out of 200 in 2023,8.4/10 (9 Reviews)
Kalasalingam Academy of Research and Education,https://zollege.in/university/185204-kalasalingam-academy-of-research-and-education-krishnankovil,"Krishnankovil, Tamil Nadu | UGC, NBA Accredited",BE/B.Tech,₹ 1.21 Lakhs,ME/M.Tech,₹ 80.6 K,NIRFranking 29 out of 201 in 2023,7.9/10 (24 Reviews)
Institute of Hotel Management Catering Technology and Applied Nutrition - [IHM],https://zollege.in/college/167292-institute-of-hotel-management-catering-technology-and-applied-nutrition-ihm-chennai,"Chennai, Tamil Nadu | NCHMCT Accredited",Diploma in Hotel Management,₹ 54.13 K,Certificate in Hotel Management,₹ 45.93 K,ranking 6 out of 75 in 2023,7.9/10 (3 Reviews)
University of Hyderabad - [UOH],https://zollege.in/university/184704-university-of-hyderabad-uoh-hyderabad,"Hyderabad, Telangana | UGC, AIU Accredited",BA,₹ 7.22 K,MA,₹ 7.22 K,NIRFranking 10 out of 201 in 2023,8.6/10 (8 Reviews)
Sree Chitra Tirunal Institute for Medical Sciences and Technology - [SCTIMST],https://zollege.in/college/170349-sree-chitra-tirunal-institute-for-medical-sciences-and-technology-sctimst-trivandrum,"Trivandrum, Kerala | MCI, UGC Accredited",Diploma in Medical,₹ 12.82 K,M.Ch,₹ 1.57 Lakhs,NIRFranking 10 out of 50 in 2023,
Malaviya National Institute of Technology - [MNIT],https://zollege.in/university/185149-malaviya-national-institute-of-technology-mnit-jaipur,"Jaipur, Rajasthan | AICTE, MHRD Accredited",BE/B.Tech,₹ 1.81 Lakhs,ME/M.Tech,₹ 1.26 Lakhs,NIRFranking 62 out of 200 in 2023,8.6/10 (119 Reviews)
KJ Somaiya Institute of Management,https://zollege.in/college/177551-kj-somaiya-institute-of-management-mumbai,"Mumbai, Maharashtra | AICTE, NBA, AIU, AACSB Accredited",MBA/PGDM,₹ 10.41 Lakhs,M.Phil/Ph.D in Management,₹ 1.65 Lakhs,TOIranking 7 out of 173 in 2022,10/10 (1 Reviews)
NALSAR University of Law - [NALSAR],https://zollege.in/university/184687-nalsar-university-of-law-nalsar-hyderabad,"Hyderabad, Telangana | BCI, UGC Accredited",M.Phil/Ph.D in Law,₹ 7.2 Lakhs,PG Diploma in Law,₹ 20.5 K,NIRFranking 3 out of 30 in 2023,9.2/10 (2 Reviews)
"University Institute of Engineering, Chandigarh University - [UIE]",https://zollege.in/college/216406-university-institute-of-engineering-chandigarh-university-uie-chandigarh,"Chandigarh, Chandigarh | AICTE Accredited",BE/B.Tech,No Fees Found,ME/M.Tech,No Fees Found,ranking 65 out of 281 in 2023,9.3/10 (1 Reviews)
Jagdish Sheth School of Management - [JAGSOM],https://zollege.in/college/187180-jagdish-sheth-school-of-management-jagsom-bangalore,"Bangalore, Karnataka | AICTE, NBA Accredited",MBA/PGDM,₹ 15.95 Lakhs,BBA/BBM,₹ 8 Lakhs,,7.7/10 (3 Reviews)
Kalinga Institute of Industrial Technology - [KIIT],https://zollege.in/university/185081-kalinga-institute-of-industrial-technology-kiit-bhubaneswar,"Bhubaneswar, Orissa | DCI, AICTE, INC, MCI, BCI Accredited",BE/B.Tech,₹ 4.29 Lakhs,ME/M.Tech,₹ 3.13 Lakhs,NIRFranking 16 out of 201 in 2023,8.5/10 (167 Reviews)
Tamil Nadu Agricultural University - [TNAU],https://zollege.in/university/185222-tamil-nadu-agricultural-university-tnau-coimbatore,"Coimbatore, Tamil Nadu | ICAR Accredited",B.Sc (Agriculture),₹ 48.13 K,UG Diploma in Agriculture,₹ 21.1 K,NIRFranking 72 out of 201 in 2023,8.6/10 (3 Reviews)
NIT Silchar,https://zollege.in/university/184720-nit-silchar-silchar,"Silchar, Assam | AICTE, UGC, MHRD Accredited",BE/B.Tech,₹ 1.55 Lakhs,M.Phil/Ph.D in Engineering,₹ 41.5 K,NIRFranking 83 out of 200 in 2023,8.2/10 (70 Reviews)
Goa Institute of Management - [GIM],https://zollege.in/college/177027-goa-institute-of-management-gim-north-goa,"North Goa, Goa | AICTE, NBA, AIU Accredited",MBA/PGDM,₹ 18.31 Lakhs,Graduate Diploma in Management,₹ 30 K,TOIranking 14 out of 100 in 2019,9.3/10 (1 Reviews)
Manipal College of Pharmaceutical Sciences - [MCOPS],https://zollege.in/college/169001-manipal-college-of-pharmaceutical-sciences-mcops-manipal,"Manipal, Karnataka | AICTE, PCI Accredited",M.Pharm,₹ 4.25 Lakhs,B.Pharm,₹ 3.13 Lakhs,NIRFranking 9 out of 125 in 2023,7.6/10 (4 Reviews)
Madras Medical College - [MMC],https://zollege.in/college/168973-madras-medical-college-mmc-chennai,"Chennai, Tamil Nadu | MCI Accredited",MD,₹ 2.78 Lakhs,M.Ch,₹ 6 Lakhs,NIRFranking 11 out of 50 in 2023,6.8/10 (2 Reviews)
IIT Patna - Indian Institute of Technology - [IITP],https://zollege.in/university/184730-iit-patna-indian-institute-of-technology-iitp-patna,"Patna, Bihar | UGC Accredited",BE/B.Tech,₹ 2.7 Lakhs,ME/M.Tech,₹ 1.1 Lakhs,NIRFranking 66 out of 200 in 2023,8.2/10 (29 Reviews)
"Institute of Hotel Management, Catering & Nutrition - [IHM]",https://zollege.in/college/214384-institute-of-hotel-management-catering-and-nutrition-ihm-lucknow,"Lucknow, Uttar Pradesh | NCHMCT Accredited",Diploma in Hotel Management,₹ 42.7 K,BHM,₹ 1.33 Lakhs,ranking 7 out of 75 in 2023,
Manipal Institute of Communication - [MIC],https://zollege.in/college/166751-manipal-institute-of-communication-mic-manipal,"Manipal, Karnataka | AICTE Accredited",BA,₹ 2.28 Lakhs,MA,₹ 2.8 Lakhs,,7.3/10 (2 Reviews)
Indian Institute of Management - [IIM],https://zollege.in/university/185312-indian-institute-of-management-iim-kashipur,"Kashipur, Uttarakhand",MBA/PGDM,₹ 10.17 Lakhs,Executive MBA,₹ 12.2 Lakhs,TOIranking 8 out of 173 in 2022,
Visvesvaraya National Institute of Technology - [VNIT],https://zollege.in/university/185054-visvesvaraya-national-institute-of-technology-vnit-nagpur,"Nagpur, Maharashtra | UGC Accredited",BE/B.Tech,₹ 1.49 Lakhs,ME/M.Tech,₹ 1.01 Lakhs,NIRFranking 82 out of 200 in 2023,7.8/10 (18 Reviews)
National Institute of Technology - [NIT],https://zollege.in/university/185330-national-institute-of-technology-nit-durgapur,"Durgapur, West Bengal | AICTE, UGC Accredited",BE/B.Tech,₹ 1.79 Lakhs,ME/M.Tech,₹ 94.1 K,NIRFranking 90 out of 200 in 2023,8.4/10 (54 Reviews)
Institute of Rural Management - [IRMA],https://zollege.in/college/177381-institute-of-rural-management-irma-anand,"Anand, Gujarat | AICTE, NBA, AIU Accredited",MBA/PGDM,₹ 7.71 Lakhs,Executive MBA,₹ 8.6 Lakhs,TOIranking 5 out of 80 in 2021,7/10 (1 Reviews)
Madras Christian College - [MCC],https://zollege.in/college/162029-madras-christian-college-mcc-chennai,"Chennai, Tamil Nadu | UGC Accredited",UG Certificate in Arts,₹ 6 K,Certificate in Arts,₹ 3.5 K,NIRFranking 16 out of 200 in 2023,7.8/10 (6 Reviews)
K L University - [KLU],https://zollege.in/university/184683-k-l-university-klu-guntur,"Guntur, Andhra Pradesh | AICTE, COA, PCI, UGC Accredited",BE/B.Tech,₹ 2.5 Lakhs,ME/M.Tech,₹ 1.45 Lakhs,NIRFranking 28 out of 201 in 2023,8.5/10 (23 Reviews)
King George's Medical University - [KGMU],https://zollege.in/university/187636-king-georges-medical-university-kgmu-lucknow,"Lucknow, Uttar Pradesh | DCI, MCI, UGC Accredited",UG Diploma in Medical,₹ 73 K,Diploma in Medical,₹ 73 K,NIRFranking 45 out of 201 in 2023,8/10 (5 Reviews)
Narsee Monjee Institute of Management Studies - [NMIMS University],https://zollege.in/university/188307-narsee-monjee-institute-of-management-studies-nmims-university-bangalore,"Bangalore, Karnataka | AICTE, AMBA Accredited",B.Sc,₹ 3.1 Lakhs,,,,6.6/10 (4 Reviews)
The West Bengal National University of Juridical Sciences - [NUJS],https://zollege.in/university/185337-the-west-bengal-national-university-of-juridical-sciences-nujs-kolkata,"Kolkata, West Bengal | BCI, UGC Accredited",PG Diploma in Law,₹ 36 K,LLB,₹ 3.46 Lakhs,NIRFranking 4 out of 30 in 2023,
SSN College of Engineering - [SSNCE],https://zollege.in/college/174188-ssn-college-of-engineering-ssnce-chennai,"Chennai, Tamil Nadu | AICTE Accredited",BE/B.Tech,₹ 50 K,ME/M.Tech,₹ 50 K,NIRFranking 80 out of 200 in 2023,8.8/10 (3 Reviews)
Dr BR Ambedkar National Institute of Technology - [NIT],https://zollege.in/university/185102-dr-br-ambedkar-national-institute-of-technology-nit-jalandhar,"Jalandhar, Punjab | AICTE, UGC Accredited",BE/B.Tech,₹ 1.64 Lakhs,ME/M.Tech,₹ 2.28 Lakhs,NIRFranking 72 out of 200 in 2023,7.6/10 (74 Reviews)
Birla Institute of Management Technology - [BIMTECH],https://zollege.in/college/176698-birla-institute-of-management-technology-bimtech-greater-noida,"Greater Noida, Uttar Pradesh | AICTE, NBA, AIU Accredited",M.Phil/Ph.D in Management,₹ 86.5 K,MBA/PGDM,₹ 14 Lakhs,NIRF Innovationranking 6 out of 50 in 2020,7.8/10 (6 Reviews)
Banarsidas Chandiwala Institute of Hotel Management & Catering Technology,https://zollege.in/college/167176-banarsidas-chandiwala-institute-of-hotel-management-and-catering-technology-new-delhi,"New Delhi, Delhi NCR",BHM,₹ 1.39 Lakhs,,,ranking 8 out of 75 in 2023,
Xavier Institute of Communications - [XIC],https://zollege.in/college/166839-xavier-institute-of-communications-xic-mumbai,"Mumbai, Maharashtra",PG Diploma in Mass Communication,₹ 3.77 Lakhs,Certificate in Mass Communication,₹ 16 K,ranking 7 out of 55 in 2023,
IIT Bhubaneswar - Indian Institute of Technology - [IITBBS],https://zollege.in/university/185080-iit-bhubaneswar-indian-institute-of-technology-iitbbs-bhubaneswar,"Bhubaneswar, Orissa | AICTE Accredited",BE/B.Tech,₹ 2.21 Lakhs,ME/M.Tech,₹ 43.29 K,NIRFranking 91 out of 200 in 2023,7.8/10 (20 Reviews)
Indian Veterinary Research Institute - [IVRI],https://zollege.in/university/185270-indian-veterinary-research-institute-ivri-bareilly,"Bareilly, Uttar Pradesh | ICAR Accredited",MVSc,₹ 15.55 K,Ph.D in Veterinary Science,₹ 15.9 K,,
"Industrial and Management Engineering, IIT Kanpur- [IME IIT]",https://zollege.in/college/187161-industrial-and-management-engineering-iit-kanpur-ime-iit-kanpur,"Kanpur, Uttar Pradesh | AICTE, UGC, NBA Accredited",MBA/PGDM,₹ 9 Lakhs,M.Phil/Ph.D in Management,₹ 23.85 K,NIRFranking 23 out of 125 in 2023,
Deen Dayal Upadhyaya College,https://zollege.in/college/160322-deen-dayal-upadhyaya-college-new-delhi,"New Delhi, Delhi NCR | UGC Accredited",B.Sc,₹ 19.35 K,,,NIRFranking 24 out of 200 in 2023,8/10 (20 Reviews)
Indian Institute of Space Science and Technology - [IIST],https://zollege.in/university/184963-indian-institute-of-space-science-and-technology-iist-thiruvananthapuram,"Thiruvananthapuram, Kerala | AICTE, UGC Accredited",BE/B.Tech,₹ 1.42 Lakhs,ME/M.Tech,₹ 87.4 K,NIRF Innovationranking 6 out of 25 in 2020,7/10 (3 Reviews)
All India Institute of Medical Sciences - [AIIMS],https://zollege.in/university/185117-all-india-institute-of-medical-sciences-aiims-jodhpur,"Jodhpur, Rajasthan | MCI Accredited",MBBS,₹ 1.63 K,MD,₹ 2.15 K,NIRFranking 86 out of 200 in 2022,8.8/10 (8 Reviews)
MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT],https://zollege.in/university/185282-mnnit-allahabad-motilal-nehru-national-institute-of-technology-mnnit-allahabad,"Allahabad, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 1.66 Lakhs,ME/M.Tech,₹ 1.18 Lakhs,NIRFranking 101 out of 200 in 2023,7.8/10 (76 Reviews)
LBSIM- Lal Bahadur Shastri Institute of Management,https://zollege.in/college/177646-lbsim-lal-bahadur-shastri-institute-of-management-new-delhi,"New Delhi, Delhi NCR | AICTE, NBA, AIU Accredited",MBA/PGDM,₹ 15.5 Lakhs,M.Phil/Ph.D in Management,₹ 1.2 Lakhs,TOIranking 7 out of 80 in 2021,
National Institute of Pharmaceutical Education And Research - [NIPER],https://zollege.in/college/169048-national-institute-of-pharmaceutical-education-and-research-niper-guwahati,"Guwahati, Assam | AICTE, PCI Accredited",M.Phil/Ph.D in Pharmacy,₹ 1.66 Lakhs,M.Pharm,₹ 1.35 Lakhs,NIRFranking 12 out of 125 in 2023,
CEPT University,https://zollege.in/university/184802-cept-university-ahmedabad,"Ahmedabad, Gujarat | UGC Accredited",M.Arch,₹ 4.19 Lakhs,M.Phil/Ph.D in Architecture,₹ 1.9 Lakhs,NIRFranking 151 out of 200 in 2020,8.2/10 (2 Reviews)
IIM Amritsar - Indian Institute of Management,https://zollege.in/university/215260-iim-amritsar-indian-institute-of-management-amritsar,"Amritsar, Punjab | MHRD Accredited",MBA/PGDM,₹ 8.65 Lakhs,Executive MBA,₹ 1.2 Lakhs,TOIranking 97 out of 173 in 2022,8/10 (1 Reviews)
St Joseph's University,https://zollege.in/college/217345-st-josephs-university-bangalore,"Bangalore, Karnataka",M.Sc,₹ 1.28 Lakhs,B.Sc,₹ 32.96 K,NIRFranking 101 out of 200 in 2023,6.7/10 (12 Reviews)
National Institute of Technology - [NIT],https://zollege.in/university/184785-national-institute-of-technology-nit-new-delhi,"New Delhi, Delhi NCR | AICTE, UGC Accredited",BE/B.Tech,₹ 1.8 Lakhs,ME/M.Tech,₹ 86.8 K,ranking 26 out of 281 in 2023,8.1/10 (18 Reviews)
Dr.Ambedkar Institute of Hotel Management Catering and Nutrition - [IHM],https://zollege.in/college/167219-drambedkar-institute-of-hotel-management-catering-and-nutrition-ihm-chandigarh,"Chandigarh, Chandigarh | NCHMCT Accredited",MHM,₹ 1.05 Lakhs,Diploma in Hotel Management,₹ 49.86 K,ranking 9 out of 75 in 2023,8.2/10 (2 Reviews)
National Institute of Design - [NID],https://zollege.in/college/165205-national-institute-of-design-nid-ahmedabad,"Ahmedabad, Gujarat | AICTE, AIU Accredited",B.Des,₹ 3.94 Lakhs,M.Des,₹ 4.58 Lakhs,IIRFranking 1 out of 30 in 2024,
Vardhman Mahavir Medical College - [VMMC],https://zollege.in/college/167119-vardhman-mahavir-medical-college-vmmc-new-delhi,"New Delhi, Delhi NCR | MCI Accredited",Diplomate National Board [DNB],₹ 41 K,MBBS,₹ 33.5 K,NIRFranking 14 out of 50 in 2023,7.3/10 (4 Reviews)
Visvesvaraya Technological University - [VTU],https://zollege.in/university/184954-visvesvaraya-technological-university-vtu-belgaum,"Belgaum, Karnataka | AICTE, UGC Accredited",BE/B.Tech,₹ 10.72 K,ME/M.Tech,₹ 11.47 K,NIRFranking 63 out of 201 in 2023,5.6/10 (10 Reviews)
IIM Sambalpur,https://zollege.in/university/215262-iim-sambalpur-sambalpur,"Sambalpur, Orissa | MHRD Accredited",MBA/PGDM,₹ 10.65 Lakhs,Executive MBA,₹ 9 Lakhs,NIRFranking 58 out of 125 in 2023,
Faculty of Law Jamia Millia Islamia University,https://zollege.in/college/187590-faculty-of-law-jamia-millia-islamia-university-new-delhi,"New Delhi, Delhi NCR | BCI Accredited",LLB,₹ 10.4 K,LLM,₹ 8.7 K,NIRFranking 5 out of 30 in 2023,
Birla Institute of Technology - [BIT Mesra],https://zollege.in/university/172409-birla-institute-of-technology-bit-mesra-ranchi,"Ranchi, Jharkhand | AICTE, PCI, UGC, NBA Accredited",ME/M.Tech,₹ 2.59 Lakhs,M.Phil/Ph.D in Engineering,₹ 75 K,NIRFranking 71 out of 201 in 2023,8/10 (43 Reviews)
SIMSREE,https://zollege.in/college/178276-simsree-mumbai,"Mumbai, Maharashtra | AICTE Accredited",MMS,₹ 51 K,M.Phil/Ph.D in Management,₹ 16 K,ranking 37 out of 100 in 2020,
Central Institute of Fisheries Education - [CIFE],https://zollege.in/university/185010-central-institute-of-fisheries-education-cife-mumbai,"Mumbai, Maharashtra",M.F.Sc,₹ 16.7 K,M.Phil/Ph.D in Science,₹ 16.7 K,,
Ramjas College,https://zollege.in/college/163029-ramjas-college-new-delhi,"New Delhi, Delhi NCR",BA,₹ 13.5 K,MA,₹ 14.28 K,NIRFranking 67 out of 200 in 2023,8.2/10 (35 Reviews)
International Institute of Information Technology - [IIIT],https://zollege.in/university/184678-international-institute-of-information-technology-iiit-hyderabad,"Hyderabad, Telangana | AICTE, UGC Accredited",BE/B.Tech,₹ 3.6 Lakhs,ME/M.Tech,₹ 1.5 Lakhs,NIRFranking 84 out of 201 in 2023,8.2/10 (9 Reviews)
"Institute of Management, Nirma University",https://zollege.in/college/187596-institute-of-management-nirma-university-ahmedabad,"Ahmedabad, Gujarat",MBA/PGDM,₹ 5.67 Lakhs,UG Diploma in Management,₹ 46 K,TOIranking 24 out of 173 in 2022,9.3/10 (1 Reviews)
National Institute of Pharmaceutical Education And Research - [NIPER],https://zollege.in/college/217503-national-institute-of-pharmaceutical-education-and-research-niper-rae-bareli,"Rae Bareli, Uttar Pradesh | PCI Accredited",M.Sc,₹ 1.4 Lakhs,M.Phil/Ph.D in Science,₹ 1.66 Lakhs,,
Dr DY Patil Vidyapeeth - [DPU],https://zollege.in/university/185019-dr-dy-patil-vidyapeeth-dpu-pune,"Pune, Maharashtra | UGC, MHRD, AIU Accredited",BAMS,₹ 4.5 Lakhs,BHMS,₹ 1.9 Lakhs,NIRFranking 46 out of 201 in 2023,5.7/10 (2 Reviews)
National Institute of Technology - [NITP],https://zollege.in/university/184738-national-institute-of-technology-nitp-patna,"Patna, Bihar | AICTE, UGC, MHRD Accredited",BE/B.Tech,₹ 2.61 Lakhs,ME/M.Tech,₹ 1.41 Lakhs,NIRFranking 101 out of 200 in 2023,7.7/10 (65 Reviews)
Institute of Hotel Management Catering Technology & Applied Nutrition - [IHM],https://zollege.in/college/187604-institute-of-hotel-management-catering-technology-and-applied-nutrition-ihm-kolkata,"Kolkata, West Bengal",Diploma in Hotel Management,₹ 66 K,UG Diploma in HM,₹ 66 K,ranking 10 out of 75 in 2023,9.7/10 (10 Reviews)
Indian Institute of Journalism and New Media - [IIJNM],https://zollege.in/college/166691-indian-institute-of-journalism-and-new-media-iijnm-bangalore,"Bangalore, Karnataka",PG Diploma in Mass Communication,₹ 4.5 Lakhs,Graduate Diploma in Mass Communication,₹ 4.25 Lakhs,ranking 9 out of 55 in 2023,
National Institute of Agricultural Extension Management - [MANAGE],https://zollege.in/college/164958-national-institute-of-agricultural-extension-management-manage-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",MBA/PGDM,₹ 8.25 Lakhs,PG Diploma in Management,₹ 7 K,TOIranking 123 out of 173 in 2022,
Christ University,https://zollege.in/university/184919-christ-university-bangalore,"Bangalore, Karnataka | UGC Accredited",B.Sc,₹ 85 K,M.Sc,₹ 90 K,NIRFranking 67 out of 201 in 2023,7.7/10 (58 Reviews)
Defence Institute of Advanced Technology - [DIAT],https://zollege.in/university/185014-defence-institute-of-advanced-technology-diat-pune,"Pune, Maharashtra | AICTE, UGC Accredited",ME/M.Tech,₹ 1.54 Lakhs,M.Phil/Ph.D in Engineering,₹ 45 K,NIRFranking 57 out of 200 in 2023,
National Institute of Technology - [NIT],https://zollege.in/university/184861-national-institute-of-technology-nit-kurukshetra,"Kurukshetra, Haryana | AICTE Accredited",BE/B.Tech,₹ 1.62 Lakhs,ME/M.Tech,₹ 1.03 Lakhs,NIRFranking 58 out of 200 in 2023,8.2/10 (82 Reviews)
Symbiosis Institute of Operations Management - [SIOM],https://zollege.in/college/178285-symbiosis-institute-of-operations-management-siom-nashik,"Nashik, Maharashtra | AICTE Accredited",MBA/PGDM,₹ 8.91 Lakhs,,,TOIranking 121 out of 173 in 2022,8/10 (1 Reviews)
IIT Tirupati - Indian Institute of Technology - [IITTP],https://zollege.in/university/215256-iit-tirupati-indian-institute-of-technology-iittp-tirupati,"Tirupati, Andhra Pradesh | AICTE, UGC Accredited",ME/M.Tech,₹ 16.95 K,BE/B.Tech,₹ 2.2 Lakhs,NIRFranking 59 out of 200 in 2023,6.5/10 (5 Reviews)
